CLUSTER,TOKEN,R,ROC_AUC,DOMAIN
1,episodic_memory,0.13717846252867888,0.5950096660113063,Memory
1,autobiographical_memory,0.13269007048189624,0.5950096660113063,Memory
1,memory,0.11522871768530253,0.5950096660113063,Memory
1,remembering,0.11232656236005764,0.5950096660113063,Memory
1,prospection,0.103386196024946,0.5950096660113063,Memory
1,retrieval,0.10181102162754303,0.5950096660113063,Memory
1,memory_retrieval,0.10074213476737608,0.5950096660113063,Memory
1,episodic_simulation,0.09399201936225764,0.5950096660113063,Memory
1,recall,0.08831317538748591,0.5950096660113063,Memory
1,source_memory,0.08591652248069345,0.5950096660113063,Memory
1,thinking,0.08185416676079578,0.5950096660113063,Memory
1,theory_mind,0.08131548304575656,0.5950096660113063,Memory
1,consciousness,0.07922502459886087,0.5950096660113063,Memory
2,episodic_memory,0.10795151329912876,0.5881757828153837,Episodic Memory
2,memory,0.10432853219910374,0.5881757828153837,Episodic Memory
2,memory_retrieval,0.09982771491484199,0.5881757828153837,Episodic Memory
2,remembering,0.0960520670032642,0.5881757828153837,Episodic Memory
2,retrieval,0.0949137080884381,0.5881757828153837,Episodic Memory
2,visual_attention,0.0889908223705715,0.5881757828153837,Episodic Memory
2,source_memory,0.08579369209088937,0.5881757828153837,Episodic Memory
2,spatial_attention,0.08252251287534351,0.5881757828153837,Episodic Memory
2,prospection,0.08203666126209291,0.5881757828153837,Episodic Memory
2,autobiographical_memory,0.07996046067745345,0.5881757828153837,Episodic Memory
2,attention,0.07792012576441898,0.5881757828153837,Episodic Memory
2,recall,0.07549807201797859,0.5881757828153837,Episodic Memory
2,encoding,0.07514445421837468,0.5881757828153837,Episodic Memory
2,reaction_time,0.07360046249822103,0.5881757828153837,Episodic Memory
2,navigation,0.07243945857651159,0.5881757828153837,Episodic Memory
2,spatial,0.07211579312921626,0.5881757828153837,Episodic Memory
2,recognition_memory,0.07078840877518727,0.5881757828153837,Episodic Memory
2,mental_imagery,0.07000820915095676,0.5881757828153837,Episodic Memory
2,visual_imagery,0.0689099657810039,0.5881757828153837,Episodic Memory
2,spatial_memory,0.0683181447567489,0.5881757828153837,Episodic Memory
2,episodic_simulation,0.06822343270549068,0.5881757828153837,Episodic Memory
2,eye,0.06718148946155042,0.5881757828153837,Episodic Memory
2,theory_mind,0.0666403724573166,0.5881757828153837,Episodic Memory
3,fear,0.1624681000278677,0.6420552007705183,Encoding
3,emotion,0.1580428593727232,0.6420552007705183,Encoding
3,memory,0.15298862694698362,0.6420552007705183,Encoding
3,declarative_memory,0.15102529954351807,0.6420552007705183,Encoding
3,valence,0.1364131651979337,0.6420552007705183,Encoding
3,emotional_memory,0.13562875882382613,0.6420552007705183,Encoding
3,episodic_memory,0.13397640061836225,0.6420552007705183,Encoding
3,recognition_memory,0.13211772964350724,0.6420552007705183,Encoding
3,arousal,0.1287181688221219,0.6420552007705183,Encoding
3,facial_expression,0.1277034869903787,0.6420552007705183,Encoding
3,remembering,0.11781279181846545,0.6420552007705183,Encoding
3,encoding,0.11457016543747107,0.6420552007705183,Encoding
4,memory,0.1308609942768581,0.6173987323260777,Recognition
4,recognition_memory,0.11558787450490925,0.6173987323260777,Recognition
4,episodic_memory,0.11551831523556198,0.6173987323260777,Recognition
4,recognition,0.11529039315391745,0.6173987323260777,Recognition
4,remembering,0.10886814182491583,0.6173987323260777,Recognition
4,declarative_memory,0.10455027494225178,0.6173987323260777,Recognition
4,retrieval,0.10197648480937443,0.6173987323260777,Recognition
4,face_perception,0.0995192711342967,0.6173987323260777,Recognition
4,familiarity,0.09793288298579607,0.6173987323260777,Recognition
4,encoding,0.0920606840086487,0.6173987323260777,Recognition
4,picture,0.08895117785253517,0.6173987323260777,Recognition
4,face_recognition,0.0874679941865863,0.6173987323260777,Recognition
4,source_memory,0.08485229469705008,0.6173987323260777,Recognition
4,recall,0.08265786982058324,0.6173987323260777,Recognition
4,episodic_simulation,0.08231205109239709,0.6173987323260777,Recognition
4,remote_memory,0.08109866442414422,0.6173987323260777,Recognition
4,spatial_memory,0.08093030357250777,0.6173987323260777,Recognition
4,face,0.07980385691336428,0.6173987323260777,Recognition
4,encoding_task,0.07896258410373383,0.6173987323260777,Recognition
4,autobiographical_memory,0.07870151369528318,0.6173987323260777,Recognition
4,cognitive_map,0.07805300455766408,0.6173987323260777,Recognition
4,free_recall,0.07619941932123914,0.6173987323260777,Recognition
4,memory_process,0.07432893714292924,0.6173987323260777,Recognition
4,memory_retrieval,0.07264952616933615,0.6173987323260777,Recognition
4,episodic_future_thinking,0.07117600478506328,0.6173987323260777,Recognition
5,memory,0.09102916480423187,0.5684386908895309,Recognition Memory
5,declarative_memory,0.07648238892904356,0.5684386908895309,Recognition Memory
