CLUSTER,TOKEN,R,ROC_AUC,DOMAIN
1,memory,0.20503155091138525,0.646508095524171,Memory
1,episodic_memory,0.17653893609924226,0.646508095524171,Memory
1,remembering,0.16067262012160094,0.646508095524171,Memory
1,declarative_memory,0.1605846621084135,0.646508095524171,Memory
1,retrieval,0.15267499698378326,0.646508095524171,Memory
1,encoding,0.1516456779637543,0.646508095524171,Memory
1,recognition_memory,0.15141214251449975,0.646508095524171,Memory
1,recall,0.1349386998571234,0.646508095524171,Memory
1,recognition,0.13023672562369054,0.646508095524171,Memory
1,memory_process,0.12946527118168402,0.646508095524171,Memory
1,emotional_memory,0.12279098093519167,0.646508095524171,Memory
1,emotion,0.12116637104832068,0.646508095524171,Memory
1,fear,0.12030790405419176,0.646508095524171,Memory
1,forgetting,0.11921281317362653,0.646508095524171,Memory
1,encoding_task,0.1183401085098043,0.646508095524171,Memory
1,source_memory,0.11794735456107958,0.646508095524171,Memory
1,memory_consolidation,0.11459935185435192,0.646508095524171,Memory
1,autobiographical_memory,0.11351485448773953,0.646508095524171,Memory
1,memory_trace,0.11093146576419892,0.646508095524171,Memory
1,valence,0.10971161649682082,0.646508095524171,Memory
1,picture,0.10953242280113099,0.646508095524171,Memory
1,memory_function,0.10810862652872387,0.646508095524171,Memory
1,memory_retrieval,0.1080499271651932,0.646508095524171,Memory
1,episodic_simulation,0.10756732962395067,0.646508095524171,Memory
2,memory,0.09102916480423187,0.5684386908895309,Episodic Memory
2,declarative_memory,0.07648238892904356,0.5684386908895309,Episodic Memory
2,episodic_memory,0.07368236212628541,0.5684386908895309,Episodic Memory
2,recognition_memory,0.0725609841560359,0.5684386908895309,Episodic Memory
2,episodic_simulation,0.07154895391808434,0.5684386908895309,Episodic Memory
2,recall,0.06825330384043682,0.5684386908895309,Episodic Memory
2,recognition,0.06692028842160741,0.5684386908895309,Episodic Memory
2,autobiographical_memory,0.06387200179383437,0.5684386908895309,Episodic Memory
2,retrieval,0.06148055992049775,0.5684386908895309,Episodic Memory
2,remembering,0.061260057272874965,0.5684386908895309,Episodic Memory
2,semantic_memory,0.05937955259486739,0.5684386908895309,Episodic Memory
2,semantic_information,0.05906569369003846,0.5684386908895309,Episodic Memory
2,cognitive_map,0.05896776312045785,0.5684386908895309,Episodic Memory
2,spatial_memory,0.056595394524385376,0.5684386908895309,Episodic Memory
2,episodic_future_thinking,0.053408002863026806,0.5684386908895309,Episodic Memory
2,memory_process,0.05296435558701209,0.5684386908895309,Episodic Memory
2,prospection,0.0527766682709668,0.5684386908895309,Episodic Memory
2,face_perception,0.05134292623317077,0.5684386908895309,Episodic Memory
2,familiarity,0.04875804553117587,0.5684386908895309,Episodic Memory
2,source_memory,0.04785207001047735,0.5684386908895309,Episodic Memory
2,emotional_memory,0.046427368669136125,0.5684386908895309,Episodic Memory
2,remote_memory,0.04609799399233766,0.5684386908895309,Episodic Memory
2,navigation,0.04588547680197617,0.5684386908895309,Episodic Memory
2,encoding,0.045476776199626506,0.5684386908895309,Episodic Memory
2,encoding_task,0.0448315359375606,0.5684386908895309,Episodic Memory
3,fear,0.1624681000278677,0.6420552007705183,Encoding
3,emotion,0.1580428593727232,0.6420552007705183,Encoding
3,memory,0.15298862694698362,0.6420552007705183,Encoding
3,declarative_memory,0.15102529954351807,0.6420552007705183,Encoding
3,valence,0.1364131651979337,0.6420552007705183,Encoding
3,emotional_memory,0.13562875882382613,0.6420552007705183,Encoding
3,episodic_memory,0.13397640061836225,0.6420552007705183,Encoding
3,recognition_memory,0.13211772964350724,0.6420552007705183,Encoding
3,arousal,0.1287181688221219,0.6420552007705183,Encoding
3,facial_expression,0.1277034869903787,0.6420552007705183,Encoding
3,remembering,0.11781279181846545,0.6420552007705183,Encoding
3,encoding,0.11457016543747107,0.6420552007705183,Encoding
4,memory,0.09189543989465207,0.5821058126955688,Recognition
4,episodic_memory,0.08450371903008197,0.5821058126955688,Recognition
