CLUSTER,TOKEN,R,ROC_AUC,DOMAIN
1,memory,0.09335860043948788,0.5815218829229774,Memory
1,episodic_memory,0.09203539425913257,0.5815218829229774,Memory
1,retrieval,0.08994281879426427,0.5815218829229774,Memory
1,memory_retrieval,0.0862877922155958,0.5815218829229774,Memory
1,remembering,0.08464469630287014,0.5815218829229774,Memory
1,visual_attention,0.07949109072694653,0.5815218829229774,Memory
1,source_memory,0.07468107404200999,0.5815218829229774,Memory
1,recall,0.07220538896727616,0.5815218829229774,Memory
1,encoding,0.07158233042870485,0.5815218829229774,Memory
1,prospection,0.07119217149650227,0.5815218829229774,Memory
1,visual_imagery,0.07024108179450103,0.5815218829229774,Memory
1,autobiographical_memory,0.06845653017777159,0.5815218829229774,Memory
1,spatial_memory,0.06841931199715122,0.5815218829229774,Memory
1,recognition_memory,0.06775629727923145,0.5815218829229774,Memory
1,navigation,0.0669546378860558,0.5815218829229774,Memory
1,mental_imagery,0.0658385004931937,0.5815218829229774,Memory
1,familiarity,0.06351525472435735,0.5815218829229774,Memory
1,episodic_simulation,0.0634539144330697,0.5815218829229774,Memory
1,eye,0.060894933717780285,0.5815218829229774,Memory
2,memory,0.09102916480423187,0.5684386908895309,Episodic Memory
2,declarative_memory,0.07648238892904356,0.5684386908895309,Episodic Memory
2,episodic_memory,0.07368236212628541,0.5684386908895309,Episodic Memory
2,recognition_memory,0.0725609841560359,0.5684386908895309,Episodic Memory
2,episodic_simulation,0.07154895391808434,0.5684386908895309,Episodic Memory
2,recall,0.06825330384043682,0.5684386908895309,Episodic Memory
2,recognition,0.06692028842160741,0.5684386908895309,Episodic Memory
2,autobiographical_memory,0.06387200179383437,0.5684386908895309,Episodic Memory
2,retrieval,0.06148055992049775,0.5684386908895309,Episodic Memory
2,remembering,0.061260057272874965,0.5684386908895309,Episodic Memory
2,semantic_memory,0.05937955259486739,0.5684386908895309,Episodic Memory
2,semantic_information,0.05906569369003846,0.5684386908895309,Episodic Memory
2,cognitive_map,0.05896776312045785,0.5684386908895309,Episodic Memory
2,spatial_memory,0.056595394524385376,0.5684386908895309,Episodic Memory
2,episodic_future_thinking,0.053408002863026806,0.5684386908895309,Episodic Memory
2,memory_process,0.05296435558701209,0.5684386908895309,Episodic Memory
2,prospection,0.0527766682709668,0.5684386908895309,Episodic Memory
2,face_perception,0.05134292623317077,0.5684386908895309,Episodic Memory
2,familiarity,0.04875804553117587,0.5684386908895309,Episodic Memory
2,source_memory,0.04785207001047735,0.5684386908895309,Episodic Memory
2,emotional_memory,0.046427368669136125,0.5684386908895309,Episodic Memory
2,remote_memory,0.04609799399233766,0.5684386908895309,Episodic Memory
2,navigation,0.04588547680197617,0.5684386908895309,Episodic Memory
2,encoding,0.045476776199626506,0.5684386908895309,Episodic Memory
2,encoding_task,0.0448315359375606,0.5684386908895309,Episodic Memory
3,memory,0.15811938448794244,0.6301390997189844,Encoding
3,episodic_memory,0.14424474004297902,0.6301390997189844,Encoding
3,recognition_memory,0.13446529779469565,0.6301390997189844,Encoding
3,declarative_memory,0.133740905917532,0.6301390997189844,Encoding
3,remembering,0.13023982679894064,0.6301390997189844,Encoding
3,retrieval,0.12217696149386098,0.6301390997189844,Encoding
3,recognition,0.11804595540392444,0.6301390997189844,Encoding
3,encoding,0.11648863779532945,0.6301390997189844,Encoding
3,spatial_memory,0.10810190203450104,0.6301390997189844,Encoding
3,familiarity,0.10495615467516152,0.6301390997189844,Encoding
3,cognitive_map,0.10304032914865567,0.6301390997189844,Encoding
3,autobiographical_memory,0.1020715773135575,0.6301390997189844,Encoding
3,episodic_simulation,0.10052158939848294,0.6301390997189844,Encoding
3,recall,0.1000055688791299,0.6301390997189844,Encoding
3,source_memory,0.0997329254358047,0.6301390997189844,Encoding
3,encoding_task,0.09595142849207207,0.6301390997189844,Encoding
3,remote_memory,0.0923237518526462,0.6301390997189844,Encoding
3,navigation,0.09135845714036858,0.6301390997189844,Encoding
3,picture,0.0913033494791418,0.6301390997189844,Encoding
3,emotional_memory,0.09127714822880073,0.6301390997189844,Encoding
3,memory_process,0.09117015211030748,0.6301390997189844,Encoding
3,memory_retrieval,0.09110376324653352,0.6301390997189844,Encoding
3,face_perception,0.08800090886829309,0.6301390997189844,Encoding
3,episodic_future_thinking,0.08590172112031427,0.6301390997189844,Encoding
4,memory,0.1106207124172162,0.5804608439519935,Familiarity
4,remembering,0.10787501322645572,0.5804608439519935,Familiarity
4,visual_imagery,0.1031522330128812,0.5804608439519935,Familiarity
4,retrieval,0.10101030949270152,0.5804608439519935,Familiarity
4,episodic_memory,0.10023611071443034,0.5804608439519935,Familiarity
4,memory_retrieval,0.09558970253533264,0.5804608439519935,Familiarity
4,encoding,0.08689412031147978,0.5804608439519935,Familiarity
4,recall,0.08123693693210066,0.5804608439519935,Familiarity
4,mental_imagery,0.07998697241551014,0.5804608439519935,Familiarity
4,imagery,0.07853074481421872,0.5804608439519935,Familiarity
4,recognition_memory,0.07808794622342582,0.5804608439519935,Familiarity
4,imagine,0.0776477984928965,0.5804608439519935,Familiarity
4,familiarity,0.0764895502791239,0.5804608439519935,Familiarity
4,autobiographical_memory,0.07489346635367332,0.5804608439519935,Familiarity
4,episodic_simulation,0.07401496280546341,0.5804608439519935,Familiarity
4,recognition,0.07213554679064144,0.5804608439519935,Familiarity
4,spatial_memory,0.07155126110477593,0.5804608439519935,Familiarity
4,navigation,0.07087068016138848,0.5804608439519935,Familiarity
4,semantic_memory,0.06859546826214137,0.5804608439519935,Familiarity
4,episodic_future_thinking,0.06642597337058602,0.5804608439519935,Familiarity
4,source_memory,0.06495219050750206,0.5804608439519935,Familiarity
4,prospection,0.06407047456343241,0.5804608439519935,Familiarity
4,visual_perception,0.06403546657702866,0.5804608439519935,Familiarity
4,judgment,0.0636279140660013,0.5804608439519935,Familiarity
5,memory,0.19977213751555994,0.6616032286954484,Recall
5,emotion,0.1789017474142009,0.6616032286954484,Recall
5,fear,0.17812661735781218,0.6616032286954484,Recall
5,episodic_memory,0.17326043841390892,0.6616032286954484,Recall
5,declarative_memory,0.16909720910539078,0.6616032286954484,Recall
5,remembering,0.1622631580620936,0.6616032286954484,Recall
5,valence,0.1588725917002678,0.6616032286954484,Recall
5,recognition_memory,0.1567471844378674,0.6616032286954484,Recall
5,emotional_memory,0.1512301427534287,0.6616032286954484,Recall
5,facial_expression,0.14955412159286507,0.6616032286954484,Recall
5,encoding,0.14736226626027082,0.6616032286954484,Recall
5,arousal,0.1436981056337558,0.6616032286954484,Recall
5,recognition,0.13992681809914784,0.6616032286954484,Recall
5,retrieval,0.13732289613130794,0.6616032286954484,Recall
5,picture,0.1335565789335795,0.6616032286954484,Recall
5,recall,0.13150877497600594,0.6616032286954484,Recall
5,face,0.13066105036071668,0.6616032286954484,Recall
5,memory_process,0.1299451834682619,0.6616032286954484,Recall
5,encoding_task,0.12160411751966252,0.6616032286954484,Recall
5,source_memory,0.12043898128314608,0.6616032286954484,Recall
5,forgetting,0.12015199148469445,0.6616032286954484,Recall
5,autobiographical_memory,0.11869703311817616,0.6616032286954484,Recall
5,memory_consolidation,0.11815619278292044,0.6616032286954484,Recall
6,semantic_processing,0.14204103522473094,0.6169367940164574,Retrieval
6,word,0.1361769504101611,0.6169367940164574,Retrieval
