CLUSTER,TOKEN,R,ROC_AUC,DOMAIN,FREQUENCY
1,fear,0.19229092154417485,0.6626075668839276,EMOTION,25324
1,emotion,0.188637643380005,0.6626075668839276,EMOTION,68311
1,memory,0.1853624115565204,0.6626075668839276,EMOTION,104621
1,declarative_memory,0.16801850104981586,0.6626075668839276,EMOTION,2010
1,facial_expression,0.16284332685365915,0.6626075668839276,EMOTION,18306
1,valence,0.16082758023589014,0.6626075668839276,EMOTION,25850
1,episodic_memory,0.1579831510652426,0.6626075668839276,EMOTION,11977
1,emotional_memory,0.15528974230361378,0.6626075668839276,EMOTION,2226
2,reward,0.28725706393363715,0.6444100440129858,REWARD,66044
2,reward_processing,0.2312286627395347,0.6444100440129858,REWARD,5176
2,reward_anticipation,0.2259469434830643,0.6444100440129858,REWARD,3466
2,anticipation,0.1895959441502043,0.6444100440129858,REWARD,15770
2,monetary_incentive_delay_task,0.1882390544649349,0.6444100440129858,REWARD,551
2,instrumental_conditioning,0.14984105654528926,0.6444100440129858,REWARD,494
2,reward_learning,0.13944570505058826,0.6444100440129858,REWARD,885
3,arousal,0.13116548078152582,0.6096786194892594,COGNITIVE,17711
3,monitoring,0.1248714153502795,0.6096786194892594,COGNITIVE,18441
3,anticipation,0.11604413104173125,0.6096786194892594,COGNITIVE,15770
3,decision_making,0.11175472757204392,0.6096786194892594,COGNITIVE,11019
3,reward,0.10925088561065256,0.6096786194892594,COGNITIVE,66044
3,valence,0.10843514995887013,0.6096786194892594,COGNITIVE,25850
3,salience,0.09797466738492744,0.6096786194892594,COGNITIVE,15457
3,pain,0.09544300587215226,0.6096786194892594,COGNITIVE,77552
3,cognitive_control,0.09517361901327012,0.6096786194892594,COGNITIVE,23952
3,error_detection,0.09378197044518798,0.6096786194892594,COGNITIVE,2473
3,autobiographical_memory,0.09232765216373658,0.6096786194892594,COGNITIVE,5475
3,emotion,0.09170188665411494,0.6096786194892594,COGNITIVE,68311
3,expectancy,0.08963150068320977,0.6096786194892594,COGNITIVE,6407
3,cognitive_process,0.08867212938699863,0.6096786194892594,COGNITIVE,9090
3,reaction_time,0.08860765462696411,0.6096786194892594,COGNITIVE,28960
3,strategy,0.08722561035308242,0.6096786194892594,COGNITIVE,28060
3,remembering,0.08654697912588337,0.6096786194892594,COGNITIVE,5084
3,context,0.08610594589959929,0.6096786194892594,COGNITIVE,44728
3,cognitive,0.08410986909318081,0.6096786194892594,COGNITIVE,95850
3,interoception,0.08323653994220515,0.6096786194892594,COGNITIVE,2303
3,decision,0.08302233781034155,0.6096786194892594,COGNITIVE,36297
3,goal,0.08287270675428568,0.6096786194892594,COGNITIVE,18484
3,retrieval,0.08162888543015043,0.6096786194892594,COGNITIVE,53088
4,execution,0.1825094472385905,0.6281555921419663,MANIPULATION,15077
4,working_memory,0.1537098362214615,0.6281555921419663,MANIPULATION,53575
4,hand,0.15282764708252244,0.6281555921419663,MANIPULATION,69501
4,manipulation,0.14355316072275615,0.6281555921419663,MANIPULATION,16872
4,rehearsal,0.1348991005179544,0.6281555921419663,MANIPULATION,3800
4,movement,0.13294153622283114,0.6281555921419663,MANIPULATION,95555
4,action,0.12825103324744486,0.6281555921419663,MANIPULATION,80645
4,reaction_time,0.12416295987865897,0.6281555921419663,MANIPULATION,28960
4,attention,0.1197678014465242,0.6281555921419663,MANIPULATION,85465
4,grasping,0.11923525626709205,0.6281555921419663,MANIPULATION,5970
4,response_selection,0.11816384899365552,0.6281555921419663,MANIPULATION,4786
4,representation,0.11796779267813792,0.6281555921419663,MANIPULATION,72956
4,monitoring,0.1173505708258115,0.6281555921419663,MANIPULATION,18441
4,strategy,0.11734835842695893,0.6281555921419663,MANIPULATION,28060
4,covert,0.1168797045493775,0.6281555921419663,MANIPULATION,6023
4,grasp,0.11576886848119755,0.6281555921419663,MANIPULATION,3028
4,spatial_attention,0.11427610351551495,0.6281555921419663,MANIPULATION,7321
5,vision,0.1310310563791348,0.6317121977415041,VISION,13919
5,recognition,0.12966718320543055,0.6317121977415041,VISION,37683
5,retrieval,0.1273234662414804,0.6317121977415041,VISION,53088
5,face_perception,0.12580111129436453,0.6317121977415041,VISION,4458
5,familiarity,0.12430724124391924,0.6317121977415041,VISION,14917
5,visual_attention,0.12065972587310975,0.6317121977415041,VISION,5345
5,visual_perception,0.11787416383267445,0.6317121977415041,VISION,2743
5,object_recognition,0.11761097312231795,0.6317121977415041,VISION,3416
6,speech,0.2303986985522272,0.6550621845739064,HEARING,43945
6,hearing,0.2297916892212191,0.6550621845739064,HEARING,9526
6,listening,0.22107612317445227,0.6550621845739064,HEARING,7479
6,speech_perception,0.2079649620968899,0.6550621845739064,HEARING,4806
6,speech_processing,0.2037781835199598,0.6550621845739064,HEARING,2417
7,semantic_processing,0.16916325900580706,0.6508585982358304,MEANING,8467
7,language,0.1568473622857505,0.6508585982358304,MEANING,71269
7,word,0.15647134537992016,0.6508585982358304,MEANING,150581
7,memory,0.14603469150981555,0.6508585982358304,MEANING,104621
7,retrieval,0.14534964458209476,0.6508585982358304,MEANING,53088
7,semantic_memory,0.14437406826874524,0.6508585982358304,MEANING,4187
7,language_processing,0.14379594386050196,0.6508585982358304,MEANING,5825
7,semantic_knowledge,0.1394264471920308,0.6508585982358304,MEANING,2381
7,semantic_information,0.13849158829683805,0.6508585982358304,MEANING,2485
7,episodic_memory,0.1377688127911211,0.6508585982358304,MEANING,11977
7,semantics,0.12930296874921454,0.6508585982358304,MEANING,4206
7,familiarity,0.12829420205836992,0.6508585982358304,MEANING,14917
7,recognition,0.1263682511375747,0.6508585982358304,MEANING,37683
7,speech,0.12538492805068,0.6508585982358304,MEANING,43945
7,autobiographical_memory,0.12395559150313562,0.6508585982358304,MEANING,5475
7,meaning,0.12259792226423873,0.6508585982358304,MEANING,16764
7,remembering,0.12018401567589547,0.6508585982358304,MEANING,5084
7,episodic_simulation,0.1193732305518238,0.6508585982358304,MEANING,398
7,naming,0.11933696373169378,0.6508585982358304,MEANING,14704
7,language_comprehension,0.11664357391802113,0.6508585982358304,MEANING,2954
7,theory_mind,0.11398439958240912,0.6508585982358304,MEANING,8533
