CLUSTER,TOKEN,R,ROC_AUC,DOMAIN
1,episodic_memory,0.14545670676468106,0.5947578200019279,Memory
1,autobiographical_memory,0.1375670266640867,0.5947578200019279,Memory
1,memory,0.12523206623414426,0.5947578200019279,Memory
1,remembering,0.11917497789835862,0.5947578200019279,Memory
1,memory_retrieval,0.11858951448476295,0.5947578200019279,Memory
1,retrieval,0.11460691599301916,0.5947578200019279,Memory
1,prospection,0.10662314406630223,0.5947578200019279,Memory
1,episodic_simulation,0.09671972759584573,0.5947578200019279,Memory
1,recall,0.0915884290626148,0.5947578200019279,Memory
1,thinking,0.08869242850099739,0.5947578200019279,Memory
1,source_memory,0.08795336346575808,0.5947578200019279,Memory
1,theory_mind,0.0871977264428051,0.5947578200019279,Memory
1,navigation,0.0777282125478356,0.5947578200019279,Memory
1,thought,0.07738262424988454,0.5947578200019279,Memory
1,encoding,0.07499321572420156,0.5947578200019279,Memory
1,recognition_memory,0.07336606259429261,0.5947578200019279,Memory
1,consciousness,0.07256599973801395,0.5947578200019279,Memory
1,episodic_future_thinking,0.07105695990043245,0.5947578200019279,Memory
1,judgment,0.06918584215480801,0.5947578200019279,Memory
1,spatial_memory,0.06914428674262416,0.5947578200019279,Memory
1,mental_imagery,0.06506856337038648,0.5947578200019279,Memory
1,monitoring,0.06479875709790106,0.5947578200019279,Memory
2,memory,0.1308609942768581,0.6173987323260777,Episodic Memory
2,recognition_memory,0.11558787450490925,0.6173987323260777,Episodic Memory
2,episodic_memory,0.11551831523556198,0.6173987323260777,Episodic Memory
2,recognition,0.11529039315391745,0.6173987323260777,Episodic Memory
2,remembering,0.10886814182491583,0.6173987323260777,Episodic Memory
2,declarative_memory,0.10455027494225178,0.6173987323260777,Episodic Memory
2,retrieval,0.10197648480937443,0.6173987323260777,Episodic Memory
2,face_perception,0.0995192711342967,0.6173987323260777,Episodic Memory
2,familiarity,0.09793288298579607,0.6173987323260777,Episodic Memory
2,encoding,0.0920606840086487,0.6173987323260777,Episodic Memory
2,picture,0.08895117785253517,0.6173987323260777,Episodic Memory
2,face_recognition,0.0874679941865863,0.6173987323260777,Episodic Memory
2,source_memory,0.08485229469705008,0.6173987323260777,Episodic Memory
2,recall,0.08265786982058324,0.6173987323260777,Episodic Memory
2,episodic_simulation,0.08231205109239709,0.6173987323260777,Episodic Memory
2,remote_memory,0.08109866442414422,0.6173987323260777,Episodic Memory
2,spatial_memory,0.08093030357250777,0.6173987323260777,Episodic Memory
2,face,0.07980385691336428,0.6173987323260777,Episodic Memory
2,encoding_task,0.07896258410373383,0.6173987323260777,Episodic Memory
2,autobiographical_memory,0.07870151369528318,0.6173987323260777,Episodic Memory
2,cognitive_map,0.07805300455766408,0.6173987323260777,Episodic Memory
2,free_recall,0.07619941932123914,0.6173987323260777,Episodic Memory
2,memory_process,0.07432893714292924,0.6173987323260777,Episodic Memory
2,memory_retrieval,0.07264952616933615,0.6173987323260777,Episodic Memory
2,episodic_future_thinking,0.07117600478506328,0.6173987323260777,Episodic Memory
3,memory,0.09102916480423187,0.5684386908895309,Encoding
3,declarative_memory,0.07648238892904356,0.5684386908895309,Encoding
3,episodic_memory,0.07368236212628541,0.5684386908895309,Encoding
3,recognition_memory,0.0725609841560359,0.5684386908895309,Encoding
3,episodic_simulation,0.07154895391808434,0.5684386908895309,Encoding
3,recall,0.06825330384043682,0.5684386908895309,Encoding
3,recognition,0.06692028842160741,0.5684386908895309,Encoding
3,autobiographical_memory,0.06387200179383437,0.5684386908895309,Encoding
3,retrieval,0.06148055992049775,0.5684386908895309,Encoding
3,remembering,0.061260057272874965,0.5684386908895309,Encoding
3,semantic_memory,0.05937955259486739,0.5684386908895309,Encoding
3,semantic_information,0.05906569369003846,0.5684386908895309,Encoding
3,cognitive_map,0.05896776312045785,0.5684386908895309,Encoding
