CLUSTER,TOKEN,R,ROC_AUC,DOMAIN,TITLE
1,memory,0.09335860043948788,0.5815218829229774,Memory,Memory
1,episodic_memory,0.09203539425913257,0.5815218829229774,Memory,Memory
1,retrieval,0.08994281879426427,0.5815218829229774,Memory,Memory
1,memory_retrieval,0.0862877922155958,0.5815218829229774,Memory,Memory
1,remembering,0.08464469630287014,0.5815218829229774,Memory,Memory
1,visual_attention,0.07949109072694653,0.5815218829229774,Memory,Memory
1,source_memory,0.07468107404200999,0.5815218829229774,Memory,Memory
1,recall,0.07220538896727616,0.5815218829229774,Memory,Memory
1,encoding,0.07158233042870485,0.5815218829229774,Memory,Memory
1,prospection,0.07119217149650227,0.5815218829229774,Memory,Memory
1,visual_imagery,0.07024108179450103,0.5815218829229774,Memory,Memory
1,autobiographical_memory,0.06845653017777159,0.5815218829229774,Memory,Memory
1,spatial_memory,0.06841931199715122,0.5815218829229774,Memory,Memory
1,recognition_memory,0.06775629727923145,0.5815218829229774,Memory,Memory
1,navigation,0.0669546378860558,0.5815218829229774,Memory,Memory
1,mental_imagery,0.0658385004931937,0.5815218829229774,Memory,Memory
1,familiarity,0.06351525472435735,0.5815218829229774,Memory,Memory
1,episodic_simulation,0.0634539144330697,0.5815218829229774,Memory,Memory
1,eye,0.060894933717780285,0.5815218829229774,Memory,Memory
2,memory,0.1962216610603464,0.6338313616948411,Episodic Memory,Episodic Memory
2,episodic_memory,0.17753746688103722,0.6338313616948411,Episodic Memory,Episodic Memory
2,remembering,0.1585403173375649,0.6338313616948411,Episodic Memory,Episodic Memory
2,recognition_memory,0.15811429808510494,0.6338313616948411,Episodic Memory,Episodic Memory
2,declarative_memory,0.15771166399204814,0.6338313616948411,Episodic Memory,Episodic Memory
2,retrieval,0.15657241182551507,0.6338313616948411,Episodic Memory,Episodic Memory
2,encoding,0.1481591837464878,0.6338313616948411,Episodic Memory,Episodic Memory
2,recognition,0.1348423156745286,0.6338313616948411,Episodic Memory,Episodic Memory
2,recall,0.12439200467291585,0.6338313616948411,Episodic Memory,Episodic Memory
2,spatial_memory,0.1242398853976359,0.6338313616948411,Episodic Memory,Episodic Memory
2,familiarity,0.12219727975616812,0.6338313616948411,Episodic Memory,Episodic Memory
2,autobiographical_memory,0.1193630762947282,0.6338313616948411,Episodic Memory,Episodic Memory
2,encoding_task,0.11873274989370255,0.6338313616948411,Episodic Memory,Episodic Memory
2,source_memory,0.11786714838629254,0.6338313616948411,Episodic Memory,Episodic Memory
2,episodic_simulation,0.11607592295823292,0.6338313616948411,Episodic Memory,Episodic Memory
2,memory_process,0.11462958963307195,0.6338313616948411,Episodic Memory,Episodic Memory
2,memory_retrieval,0.11141143597937744,0.6338313616948411,Episodic Memory,Episodic Memory
2,cognitive_map,0.1083584857551963,0.6338313616948411,Episodic Memory,Episodic Memory
2,remote_memory,0.10835452046259712,0.6338313616948411,Episodic Memory,Episodic Memory
2,semantic_memory,0.1074866389205308,0.6338313616948411,Episodic Memory,Episodic Memory
2,navigation,0.10725906968172604,0.6338313616948411,Episodic Memory,Episodic Memory
2,forgetting,0.10603977895032883,0.6338313616948411,Episodic Memory,Episodic Memory
2,emotional_memory,0.10265490756151964,0.6338313616948411,Episodic Memory,Episodic Memory
3,memory,0.18672715564184605,0.6538163994801738,Encoding,Encoding
3,declarative_memory,0.16977188883024116,0.6538163994801738,Encoding,Encoding
3,fear,0.16912980905981678,0.6538163994801738,Encoding,Encoding
3,emotion,0.16749199567044235,0.6538163994801738,Encoding,Encoding
3,episodic_memory,0.16206624375762438,0.6538163994801738,Encoding,Encoding
3,recognition_memory,0.1511093141945019,0.6538163994801738,Encoding,Encoding
3,emotional_memory,0.1486292164716695,0.6538163994801738,Encoding,Encoding
3,valence,0.14685814154754592,0.6538163994801738,Encoding,Encoding
3,remembering,0.1443420997261794,0.6538163994801738,Encoding,Encoding
3,encoding,0.1403239865358969,0.6538163994801738,Encoding,Encoding
3,arousal,0.1381246599435452,0.6538163994801738,Encoding,Encoding
3,facial_expression,0.13803917667990678,0.6538163994801738,Encoding,Encoding
3,recognition,0.13049742858377308,0.6538163994801738,Encoding,Encoding
3,memory_process,0.1277418117608763,0.6538163994801738,Encoding,Encoding
3,face,0.12249221770477295,0.6538163994801738,Encoding,Encoding
3,encoding_task,0.12048486348497214,0.6538163994801738,Encoding,Encoding
4,memory,0.08947062624939639,0.5698524078447171,Recognition,Recognition
4,declarative_memory,0.07964985213210153,0.5698524078447171,Recognition,Recognition
4,recognition_memory,0.07014809656788372,0.5698524078447171,Recognition,Recognition
4,recognition,0.06782707920947871,0.5698524078447171,Recognition,Recognition
4,episodic_memory,0.0675477976580639,0.5698524078447171,Recognition,Recognition
4,cognitive_map,0.06659529920635443,0.5698524078447171,Recognition,Recognition
4,retrieval,0.05807062651026512,0.5698524078447171,Recognition,Recognition
4,recall,0.055315935151623814,0.5698524078447171,Recognition,Recognition
4,spatial_memory,0.05435900626054077,0.5698524078447171,Recognition,Recognition
4,episodic_simulation,0.05431153539863512,0.5698524078447171,Recognition,Recognition
4,encoding_task,0.05429364829938828,0.5698524078447171,Recognition,Recognition
4,face_recognition,0.05289003762628061,0.5698524078447171,Recognition,Recognition
4,semantic_memory,0.05247967459232114,0.5698524078447171,Recognition,Recognition
4,face_perception,0.05220465165480112,0.5698524078447171,Recognition,Recognition
4,remembering,0.052199750606684886,0.5698524078447171,Recognition,Recognition
4,memory_process,0.05219335818004133,0.5698524078447171,Recognition,Recognition
4,source_memory,0.05140962445525117,0.5698524078447171,Recognition,Recognition
5,memory,0.1106207124172162,0.5804608439519935,Familiarity,Familiarity
5,remembering,0.10787501322645572,0.5804608439519935,Familiarity,Familiarity
5,visual_imagery,0.1031522330128812,0.5804608439519935,Familiarity,Familiarity
5,retrieval,0.10101030949270152,0.5804608439519935,Familiarity,Familiarity
5,episodic_memory,0.10023611071443034,0.5804608439519935,Familiarity,Familiarity
5,memory_retrieval,0.09558970253533264,0.5804608439519935,Familiarity,Familiarity
5,encoding,0.08689412031147978,0.5804608439519935,Familiarity,Familiarity
5,recall,0.08123693693210066,0.5804608439519935,Familiarity,Familiarity
5,mental_imagery,0.07998697241551014,0.5804608439519935,Familiarity,Familiarity
5,imagery,0.07853074481421872,0.5804608439519935,Familiarity,Familiarity
5,recognition_memory,0.07808794622342582,0.5804608439519935,Familiarity,Familiarity
5,imagine,0.0776477984928965,0.5804608439519935,Familiarity,Familiarity
5,familiarity,0.0764895502791239,0.5804608439519935,Familiarity,Familiarity
5,autobiographical_memory,0.07489346635367332,0.5804608439519935,Familiarity,Familiarity
5,episodic_simulation,0.07401496280546341,0.5804608439519935,Familiarity,Familiarity
5,recognition,0.07213554679064144,0.5804608439519935,Familiarity,Familiarity
5,spatial_memory,0.07155126110477593,0.5804608439519935,Familiarity,Familiarity
5,navigation,0.07087068016138848,0.5804608439519935,Familiarity,Familiarity
5,semantic_memory,0.06859546826214137,0.5804608439519935,Familiarity,Familiarity
5,episodic_future_thinking,0.06642597337058602,0.5804608439519935,Familiarity,Familiarity
5,source_memory,0.06495219050750206,0.5804608439519935,Familiarity,Familiarity
5,prospection,0.06407047456343241,0.5804608439519935,Familiarity,Familiarity
5,visual_perception,0.06403546657702866,0.5804608439519935,Familiarity,Familiarity
5,judgment,0.0636279140660013,0.5804608439519935,Familiarity,Familiarity
6,episodic_memory,0.13717846252867888,0.5950096660113063,Recall,Recall
6,autobiographical_memory,0.13269007048189624,0.5950096660113063,Recall,Recall
6,memory,0.11522871768530253,0.5950096660113063,Recall,Recall
6,remembering,0.11232656236005764,0.5950096660113063,Recall,Recall
6,prospection,0.10338619602494599,0.5950096660113063,Recall,Recall
6,retrieval,0.10181102162754303,0.5950096660113063,Recall,Recall
6,memory_retrieval,0.10074213476737608,0.5950096660113063,Recall,Recall
6,episodic_simulation,0.09399201936225764,0.5950096660113063,Recall,Recall
6,recall,0.08831317538748591,0.5950096660113063,Recall,Recall
6,source_memory,0.08591652248069345,0.5950096660113063,Recall,Recall
6,thinking,0.08185416676079578,0.5950096660113063,Recall,Recall
6,theory_mind,0.08131548304575656,0.5950096660113063,Recall,Recall
6,consciousness,0.07922502459886087,0.5950096660113063,Recall,Recall
7,semantic_knowledge,0.09950813787996976,0.5966953349818165,Retrieval,Retrieval
7,semantic_memory,0.09904928326572984,0.5966953349818165,Retrieval,Retrieval
7,episodic_memory,0.09420015769574057,0.5966953349818165,Retrieval,Retrieval
7,semantic_processing,0.09002436918177299,0.5966953349818165,Retrieval,Retrieval
7,memory,0.08804063556729043,0.5966953349818165,Retrieval,Retrieval
7,retrieval,0.07751416798785192,0.5966953349818165,Retrieval,Retrieval
7,semantic_information,0.07590501901013408,0.5966953349818165,Retrieval,Retrieval
7,declarative_memory,0.07576913668648162,0.5966953349818165,Retrieval,Retrieval
7,imageability,0.07486076980211312,0.5966953349818165,Retrieval,Retrieval
7,autobiographical_memory,0.07466113134224196,0.5966953349818165,Retrieval,Retrieval
7,word,0.07385793704124675,0.5966953349818165,Retrieval,Retrieval
7,remembering,0.07214816134237395,0.5966953349818165,Retrieval,Retrieval
7,theory_mind,0.07169390107368523,0.5966953349818165,Retrieval,Retrieval
7,recognition_memory,0.06974553513844042,0.5966953349818165,Retrieval,Retrieval
7,prospection,0.06959153278981378,0.5966953349818165,Retrieval,Retrieval
7,episodic_simulation,0.06893574416365916,0.5966953349818165,Retrieval,Retrieval
8,memory,0.07226859021674964,0.5765954315912701,Remembering,Remembering
8,episodic_simulation,0.07203034578526739,0.5765954315912701,Remembering,Remembering
8,autobiographical_memory,0.06956636438688375,0.5765954315912701,Remembering,Remembering
8,recall,0.06537837946511449,0.5765954315912701,Remembering,Remembering
8,prospection,0.06497800523720683,0.5765954315912701,Remembering,Remembering
8,episodic_memory,0.06313092975407725,0.5765954315912701,Remembering,Remembering
8,recognition_memory,0.05871974134534071,0.5765954315912701,Remembering,Remembering
8,theory_mind,0.0578185449730665,0.5765954315912701,Remembering,Remembering
8,declarative_memory,0.05646241208869194,0.5765954315912701,Remembering,Remembering
8,remembering,0.05625331864404631,0.5765954315912701,Remembering,Remembering
8,episodic_future_thinking,0.05565847635117584,0.5765954315912701,Remembering,Remembering
8,semantic_information,0.0542837471847491,0.5765954315912701,Remembering,Remembering
8,semantic_memory,0.0527365045941528,0.5765954315912701,Remembering,Remembering
8,recognition,0.051176508067975454,0.5765954315912701,Remembering,Remembering
8,retrieval,0.0510514897103663,0.5765954315912701,Remembering,Remembering
8,remote_memory,0.05056769726813375,0.5765954315912701,Remembering,Remembering
8,social_cognition,0.04912543856840798,0.5765954315912701,Remembering,Remembering
8,mixed_gamble_task,0.04630823135898149,0.5765954315912701,Remembering,Remembering
8,spatial_memory,0.04613666883045575,0.5765954315912701,Remembering,Remembering
8,door_people_test,0.045165958771962784,0.5765954315912701,Remembering,Remembering
8,verbal_memory,0.04289218982558495,0.5765954315912701,Remembering,Remembering
9,fear,0.14597215467913846,0.6201165667982761,Emotion,Emotion
9,emotion,0.14596320460085102,0.6201165667982761,Emotion,Emotion
9,facial_expression,0.12572974348534574,0.6201165667982761,Emotion,Emotion
9,valence,0.12097520815557394,0.6201165667982761,Emotion,Emotion
9,memory,0.12032627067733155,0.6201165667982761,Emotion,Emotion
9,arousal,0.11220602645985528,0.6201165667982761,Emotion,Emotion
9,declarative_memory,0.10175723493712938,0.6201165667982761,Emotion,Emotion
9,episodic_memory,0.098323893830885,0.6201165667982761,Emotion,Emotion
9,remembering,0.0965149602784378,0.6201165667982761,Emotion,Emotion
9,anxiety,0.09404942883266276,0.6201165667982761,Emotion,Emotion
9,emotional_memory,0.09250303323304193,0.6201165667982761,Emotion,Emotion
9,recognition_memory,0.09248704717095037,0.6201165667982761,Emotion,Emotion
9,picture,0.09131974617011727,0.6201165667982761,Emotion,Emotion
9,sadness,0.08996747462332318,0.6201165667982761,Emotion,Emotion
9,face,0.08961060716582306,0.6201165667982761,Emotion,Emotion
9,recognition,0.08740025186351666,0.6201165667982761,Emotion,Emotion
9,negative_emotion,0.08567607271885644,0.6201165667982761,Emotion,Emotion
9,emotional_expression,0.0842056371470758,0.6201165667982761,Emotion,Emotion
9,emotion_regulation,0.08364362552840443,0.6201165667982761,Emotion,Emotion
9,memory_consolidation,0.0824849506384313,0.6201165667982761,Emotion,Emotion
9,international_affective_picture_system,0.08213646912592915,0.6201165667982761,Emotion,Emotion
9,emotion_perception,0.08151852534810823,0.6201165667982761,Emotion,Emotion
9,disgust,0.0797949387675082,0.6201165667982761,Emotion,Emotion
9,memory_trace,0.07965135519411712,0.6201165667982761,Emotion,Emotion
9,episodic_simulation,0.07934173997962166,0.6201165667982761,Emotion,Emotion
10,emotion,0.2267574208799084,0.6519596508130334,Mood,Mood
10,fear,0.22573904283313986,0.6519596508130334,Mood,Mood
10,facial_expression,0.20702353580144225,0.6519596508130334,Mood,Mood
10,valence,0.19507657425957167,0.6519596508130334,Mood,Mood
10,arousal,0.1661244171026695,0.6519596508130334,Mood,Mood
10,face,0.1602018036636519,0.6519596508130334,Mood,Mood
10,emotional_expression,0.1451863289831195,0.6519596508130334,Mood,Mood
10,disgust,0.14109938357819676,0.6519596508130334,Mood,Mood
10,anxiety,0.13905345151691226,0.6519596508130334,Mood,Mood
10,negative_emotion,0.13894544186523414,0.6519596508130334,Mood,Mood
10,anger,0.13461242916290395,0.6519596508130334,Mood,Mood
