CLUSTER,TOKEN,R,ROC_AUC,DOMAIN
1,episodic_memory,0.14545670676468106,0.5947578200019279,Memory
1,autobiographical_memory,0.1375670266640867,0.5947578200019279,Memory
1,memory,0.12523206623414426,0.5947578200019279,Memory
1,remembering,0.11917497789835862,0.5947578200019279,Memory
1,memory_retrieval,0.11858951448476295,0.5947578200019279,Memory
1,retrieval,0.11460691599301916,0.5947578200019279,Memory
1,prospection,0.10662314406630223,0.5947578200019279,Memory
1,episodic_simulation,0.09671972759584573,0.5947578200019279,Memory
1,recall,0.0915884290626148,0.5947578200019279,Memory
1,thinking,0.08869242850099739,0.5947578200019279,Memory
1,source_memory,0.08795336346575808,0.5947578200019279,Memory
1,theory_mind,0.0871977264428051,0.5947578200019279,Memory
1,navigation,0.0777282125478356,0.5947578200019279,Memory
1,thought,0.07738262424988454,0.5947578200019279,Memory
1,encoding,0.07499321572420156,0.5947578200019279,Memory
1,recognition_memory,0.07336606259429261,0.5947578200019279,Memory
1,consciousness,0.07256599973801395,0.5947578200019279,Memory
1,episodic_future_thinking,0.07105695990043245,0.5947578200019279,Memory
1,judgment,0.06918584215480801,0.5947578200019279,Memory
1,spatial_memory,0.06914428674262416,0.5947578200019279,Memory
1,mental_imagery,0.06506856337038648,0.5947578200019279,Memory
1,monitoring,0.06479875709790106,0.5947578200019279,Memory
2,memory,0.1958573744768804,0.6169308832291571,Episodic Memory
2,episodic_memory,0.17453112587066416,0.6169308832291571,Episodic Memory
2,retrieval,0.16532669774275666,0.6169308832291571,Episodic Memory
2,encoding,0.15445677817240872,0.6169308832291571,Episodic Memory
2,remembering,0.1526162845051783,0.6169308832291571,Episodic Memory
2,declarative_memory,0.14234416660699045,0.6169308832291571,Episodic Memory
2,recognition_memory,0.14183993557477909,0.6169308832291571,Episodic Memory
2,recall,0.12468675289080605,0.6169308832291571,Episodic Memory
2,semantic_memory,0.1184198637201504,0.6169308832291571,Episodic Memory
2,encoding_task,0.11789114037965626,0.6169308832291571,Episodic Memory
2,memory_process,0.117137096132489,0.6169308832291571,Episodic Memory
2,forgetting,0.11482698071797233,0.6169308832291571,Episodic Memory
2,recognition,0.11332388181049788,0.6169308832291571,Episodic Memory
2,memory_retrieval,0.1081999840201006,0.6169308832291571,Episodic Memory
2,familiarity,0.10727303686149006,0.6169308832291571,Episodic Memory
2,source_memory,0.10687936482212652,0.6169308832291571,Episodic Memory
2,spatial_memory,0.10591392062988034,0.6169308832291571,Episodic Memory
2,autobiographical_memory,0.10580510015557976,0.6169308832291571,Episodic Memory
2,memory_consolidation,0.10221600473887817,0.6169308832291571,Episodic Memory
2,longterm_memory,0.10074661950537687,0.6169308832291571,Episodic Memory
2,episodic_simulation,0.10003442698477738,0.6169308832291571,Episodic Memory
3,memory,0.15811938448794244,0.6301390997189844,Encoding
3,episodic_memory,0.14424474004297902,0.6301390997189844,Encoding
3,recognition_memory,0.13446529779469565,0.6301390997189844,Encoding
3,declarative_memory,0.133740905917532,0.6301390997189844,Encoding
3,remembering,0.13023982679894064,0.6301390997189844,Encoding
3,retrieval,0.12217696149386098,0.6301390997189844,Encoding
3,recognition,0.11804595540392444,0.6301390997189844,Encoding
3,encoding,0.11648863779532945,0.6301390997189844,Encoding
3,spatial_memory,0.10810190203450104,0.6301390997189844,Encoding
3,familiarity,0.10495615467516152,0.6301390997189844,Encoding
3,cognitive_map,0.10304032914865567,0.6301390997189844,Encoding
3,autobiographical_memory,0.1020715773135575,0.6301390997189844,Encoding
3,episodic_simulation,0.10052158939848294,0.6301390997189844,Encoding
3,recall,0.1000055688791299,0.6301390997189844,Encoding
3,source_memory,0.0997329254358047,0.6301390997189844,Encoding
3,encoding_task,0.09595142849207207,0.6301390997189844,Encoding
3,remote_memory,0.0923237518526462,0.6301390997189844,Encoding
